Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Assessment Class 1
1111087,,1069,WEBBER GREENS DRIVE NW,N,4710,POTTER GREENS,Ward 1,2507500,53.52279123,-113.6727026,RESIDENTIAL
1114933,,240,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1048500,53.43454791,-113.6550286,RESIDENTIAL
1115732,,20204,LESSARD ROAD NW,N,4462,EDGEMONT,Ward 5,5918000,53.47625712,-113.6760915,RESIDENTIAL
1003144,,28,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,1788500,53.47921404,-113.6385693,RESIDENTIAL
1113711,,15111,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,2495000,53.50575838,-113.5832244,RESIDENTIAL
1071422,,232,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1118000,53.44870105,-113.6209267,RESIDENTIAL
1316652,1701,10010,119 STREET NW,N,1150,OLIVER,Ward 6,1053000,53.54014479,-113.5272548,RESIDENTIAL
1114883,,7502,149 STREET NW,Y,4430,RIO TERRACE,Ward 5,1192500,53.50828035,-113.5784928,RESIDENTIAL
1069798,,13505,28 AVENUE SW,N,5462,CHAPPELLE AREA,Ward 10,22687500,53.40684844,-113.5573873,RESIDENTIAL
1022136,,9,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1074500,53.499856,-113.5954142,RESIDENTIAL
1116334,,9910,213 STREET NW,Y,4485,LEWIS FARMS INDUSTRIAL,Ward 1,1625000,53.53867297,-113.6874569,RESIDENTIAL
1112614,,12815,WINTERBURN ROAD NW,N,4471,TRUMPETER AREA,Ward 1,1310000,53.58535974,-113.6859008,RESIDENTIAL
1071372,,208,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,5871000,53.44684258,-113.6228695,RESIDENTIAL
1103589,,23621,18 STREET NW,N,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Ward 4,1197500,53.69508255,-113.3627232,RESIDENTIAL
1151463,,18523,127 STREET NW,N,3490,GOODRIDGE CORNERS,Ward 2,8443500,53.64899973,-113.5474126,RESIDENTIAL
1022011,,3,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1126000,53.50102686,-113.596207,RESIDENTIAL
1070903,,18610,8A AVENUE SW,Y,5570,WINDERMERE,Ward 9,1969500,53.42589937,-113.6445081,RESIDENTIAL
1070804,,18107,8 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1360500,53.42547099,-113.6343233,RESIDENTIAL
1122373,,2503,199 STREET SW,Y,4463,RIVERVIEW AREA,Ward 5,3375000,53.40688057,-113.6577139,RESIDENTIAL
1084615,,15911,PATRICIA DRIVE NW,Y,4390,PATRICIA HEIGHTS,Ward 5,2006500,53.50800144,-113.5952978,RESIDENTIAL
1066869,,2103,ELLERSLIE ROAD SW,N,6663,DECOTEAU,Ward 12,1649000,53.42207953,-113.3767541,RESIDENTIAL
1100593,,17871,MERIDIAN STREET NE,N,2671,MARQUIS,Ward 4,3014000,53.63953701,-113.3262487,RESIDENTIAL
1070028,,3910,170 STREET SW,Y,5575,WINDERMERE AREA,Ward 5,1043500,53.39945244,-113.6209182,RESIDENTIAL
1023035,,189,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1280500,53.50218551,-113.5933929,RESIDENTIAL
1001163,,18407,17 AVENUE NW,Y,4463,RIVERVIEW AREA,Ward 5,1219500,53.44678613,-113.6402617,RESIDENTIAL
1113638,,8620,WINTERBURN ROAD NW,N,4750,ROSENTHAL,Ward 1,4386500,53.52597227,-113.6909302,RESIDENTIAL
1003904,,4605,DONSDALE DRIVE NW,Y,4451,RIVER VALLEY OLESKIW,Ward 5,1003500,53.48529069,-113.6311609,RESIDENTIAL
1001320,,1625,184 STREET NW,Y,4469,RIVER'S EDGE,Ward 5,1467500,53.44792973,-113.6373285,RESIDENTIAL
1069806,,3304,127 STREET SW,N,5462,CHAPPELLE AREA,Ward 10,7981000,53.40195695,-113.5506738,RESIDENTIAL
1084201,,7302,158 STREET NW,Y,4390,PATRICIA HEIGHTS,Ward 5,1128500,53.5045432,-113.593716,RESIDENTIAL
1118231,,20403,5 AVENUE SW,Y,4463,RIVERVIEW AREA,Ward 5,1088500,53.42811598,-113.673367,RESIDENTIAL
1067156,,2510,ELLERSLIE ROAD SW,Y,6664,DECOTEAU NORTH,Ward 12,2249000,53.4285626,-113.3799385,RESIDENTIAL
1111061,,1025,WEBBER GREENS DRIVE NW,N,4710,POTTER GREENS,Ward 1,7725500,53.52115219,-113.6675255,RESIDENTIAL
1069533,,10808,5 AVENUE SW,Y,5451,RICHFORD,Ward 10,1164000,53.42820525,-113.5085333,RESIDENTIAL
1071596,,116,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1791500,53.450462,-113.6180036,RESIDENTIAL
1066919,,1481,34 STREET SW,Y,6663,DECOTEAU,Ward 12,1263500,53.4202741,-113.3873298,RESIDENTIAL
1120575,,20211,9 AVENUE SW,Y,4463,RIVERVIEW AREA,Ward 5,2105000,53.42308893,-113.6671092,RESIDENTIAL
1018951,,1,WOODVALE COURT NW,N,6300,HILLVIEW,Ward 11,7474500,53.47367955,-113.4325743,RESIDENTIAL
1070762,,18108,8 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1481000,53.42650117,-113.6354753,RESIDENTIAL
1110451,,3921,WINTERBURN ROAD NW,N,4462,EDGEMONT,Ward 5,3544500,53.47356257,-113.6857106,RESIDENTIAL
1022276,,16,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1222500,53.50051339,-113.5945048,RESIDENTIAL
1128636,,20207,5 AVENUE SW,Y,4463,RIVERVIEW AREA,Ward 5,1382000,53.42781902,-113.6691335,RESIDENTIAL
1214881,,9238,110A AVENUE NW,N,1140,MCCAULEY,Ward 2,10349500,53.5596199,-113.4850291,RESIDENTIAL
1112580,,12923,WINTERBURN ROAD NW,N,4471,TRUMPETER AREA,Ward 1,15445500,53.58855433,-113.68619,RESIDENTIAL
1066786,,2904,28 AVENUE SW,Y,6663,DECOTEAU,Ward 12,1464000,53.40883053,-113.3874132,RESIDENTIAL
1071448,,240,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1575000,53.44906206,-113.6200052,RESIDENTIAL
1113588,,7903,231 STREET NW,N,4750,ROSENTHAL,Ward 1,15913000,53.51519026,-113.7099845,RESIDENTIAL
1009950,,739,RIDDELL STREET NW,Y,5350,RHATIGAN RIDGE,Ward 9,1399500,53.48038006,-113.5892205,RESIDENTIAL
1002328,,18904,23 AVENUE NW,N,4464,THE UPLANDS,Ward 5,2159000,53.45753789,-113.6490498,RESIDENTIAL
1114842,,216,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1816000,53.43625201,-113.6570139,RESIDENTIAL
1118165,,921,207 STREET SW,Y,4463,RIVERVIEW AREA,Ward 5,1533000,53.4256511,-113.6756817,RESIDENTIAL
1213081,,11826,100 AVENUE NW,N,1150,OLIVER,Ward 6,2097000,53.53994991,-113.5262926,RESIDENTIAL
1003458,,1,DONSDALE CRESCENT NW,Y,4120,DONSDALE,Ward 5,1219000,53.48182101,-113.6330023,RESIDENTIAL
1109537,,20671,9 AVENUE SW,Y,4463,RIVERVIEW AREA,Ward 5,2570000,53.42037551,-113.6704899,RESIDENTIAL
1083807,,7500,158 STREET NW,Y,4390,PATRICIA HEIGHTS,Ward 5,2319000,53.50667808,-113.5945845,RESIDENTIAL
1066620,,2060,28 AVENUE SW,Y,6663,DECOTEAU,Ward 12,1001000,53.40937826,-113.3747581,RESIDENTIAL
1070713,,18104,7 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1223000,53.42731783,-113.6336513,RESIDENTIAL
1023076,,193,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1944500,53.5025846,-113.5938207,RESIDENTIAL
1071638,,132,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1252000,53.45207841,-113.6176647,RESIDENTIAL
1067909,,3188,CHECKNITA WAY SW,N,5467,CAVANAGH,Ward 12,3421500,53.4034155,-113.5091413,RESIDENTIAL
1022979,,183,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1146000,53.50151709,-113.5936978,RESIDENTIAL
1084557,,7706,159 STREET NW,Y,4390,PATRICIA HEIGHTS,Ward 5,1316500,53.50805026,-113.5943445,RESIDENTIAL
1101880,,20303,33 STREET NE,Y,2690,RURAL NORTH EAST SOUTH STURGEON,Ward 4,1007000,53.66768548,-113.2890414,RESIDENTIAL
1113323,,15415,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,2195500,53.50451595,-113.5877275,RESIDENTIAL
1102425,,810,HORSEHILLS ROAD NW,Y,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Ward 4,1422000,53.66381201,-113.3552233,RESIDENTIAL
1069566,,10716,5 AVENUE SW,Y,5451,RICHFORD,Ward 10,1268000,53.42814567,-113.5066154,RESIDENTIAL
1070929,,18420,8A AVENUE SW,Y,5570,WINDERMERE,Ward 9,2820000,53.42694531,-113.6419365,RESIDENTIAL
1113539,,15315,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1330000,53.50528955,-113.5853606,RESIDENTIAL
1071489,,260,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1032000,53.44883818,-113.6167319,RESIDENTIAL
1071166,,116,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,2716000,53.44137204,-113.6314301,RESIDENTIAL
1108398,,15519,CAMPBELL ROAD NW,N,3360,RAMPART INDUSTRIAL,Ward 2,1558500,53.61573888,-113.5888297,RESIDENTIAL
1109701,,108,GRANDISLE WAY NW,Y,4463,RIVERVIEW AREA,Ward 5,2045000,53.43348225,-113.6578705,RESIDENTIAL
1003045,,23,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,3808500,53.47961055,-113.6352413,RESIDENTIAL
1081207,,380,WOLF WILLOW ROAD NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1631500,53.50589206,-113.6101984,RESIDENTIAL
1113893,,15505,RIO PARK ROAD NW,Y,4430,RIO TERRACE,Ward 5,1814000,53.50346545,-113.5892837,RESIDENTIAL
1084581,,15907,PATRICIA DRIVE NW,Y,4390,PATRICIA HEIGHTS,Ward 5,1064500,53.50800805,-113.5948014,RESIDENTIAL
1114925,,236,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1443500,53.43491726,-113.6553464,RESIDENTIAL
1113646,,9204,WINTERBURN ROAD NW,N,4750,ROSENTHAL,Ward 1,7907500,53.52912628,-113.6993231,RESIDENTIAL
1104603,,17020,112 STREET NW,Y,3080,CANOSSA,Ward 3,1466000,53.63175362,-113.5182723,RESIDENTIAL
1071315,,180,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1569000,53.44468106,-113.6241814,RESIDENTIAL
1071414,,224,WINDERMERE DRIVE NW,N,5570,WINDERMERE,Ward 9,1821500,53.44822901,-113.6222616,RESIDENTIAL
1110493,,20919,44 AVENUE NW,Y,4462,EDGEMONT,Ward 5,1424000,53.47776314,-113.6811969,RESIDENTIAL
1071513,,244,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,2627000,53.44966128,-113.6198173,RESIDENTIAL
1112309,,15102,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,1023500,53.50658402,-113.5816305,RESIDENTIAL
1100650,,1310,167 AVENUE NW,N,2670,RURAL NORTH EAST HORSE HILL,Ward 4,2422000,53.63007498,-113.3628894,RESIDENTIAL
1019397,,655,WOLF WILLOW ROAD NW,Y,4610,WESTRIDGE,Ward 5,1227000,53.50456175,-113.5998824,RESIDENTIAL
1110220,,3441,199 STREET NW,Y,4462,EDGEMONT,Ward 5,1055500,53.46816109,-113.6631431,RESIDENTIAL
1022110,,8,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1245000,53.50007623,-113.5954356,RESIDENTIAL
1087139,,2,ALEXANDER CIRCLE NW,Y,3200,GLENORA,Ward 1,1400000,53.54514517,-113.5506522,RESIDENTIAL
1002690,,35,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,1478500,53.47992352,-113.6414117,RESIDENTIAL
1071232,,148,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,3904000,53.44243601,-113.6268034,RESIDENTIAL
1001197,,18415,17 AVENUE NW,Y,4463,RIVERVIEW AREA,Ward 5,1281500,53.44680851,-113.6409798,RESIDENTIAL
1092907,,425,HEFFERNAN DRIVE NW,Y,5230,HENDERSON ESTATES,Ward 9,1034000,53.46571951,-113.6012292,RESIDENTIAL
1116136,,9703,209 STREET NW,Y,4486,STEWART GREENS,Ward 1,1022000,53.53523148,-113.6775447,RESIDENTIAL
1110766,,1425,GOODSPEED LANE NW,N,4720,GLASTONBURY,Ward 1,1963500,53.5040354,-113.6752426,RESIDENTIAL
1074103,,704,67 AVENUE NW,Y,6420,MAPLE RIDGE INDUSTRIAL,Ward 11,1582500,53.50434528,-113.3525613,RESIDENTIAL
1113729,,22511,STONY PLAIN ROAD NW,N,4487,SECORD,Ward 1,6484000,53.53934981,-113.7057925,RESIDENTIAL
1070796,,804,181 STREET SW,Y,5570,WINDERMERE,Ward 9,1306000,53.42547305,-113.633529,RESIDENTIAL
1070689,,18107,4 AVENUE SW,Y,5570,WINDERMERE,Ward 9,1838000,53.42852411,-113.6343491,RESIDENTIAL
1117076,,120,WOODBEND WYND NW,Y,4464,THE UPLANDS,Ward 5,1302000,53.46714312,-113.6602988,RESIDENTIAL
1071273,,164,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1905500,53.44353883,-113.6252959,RESIDENTIAL
1114875,,224,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1510000,53.43577429,-113.6565091,RESIDENTIAL
1066851,,1903,ELLERSLIE ROAD SW,N,6663,DECOTEAU,Ward 12,1120500,53.42207949,-113.3737402,RESIDENTIAL
1110311,,3120,199 STREET NW,N,4462,EDGEMONT,Ward 5,4672500,53.46351455,-113.6672925,RESIDENTIAL
1115021,,217,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1143500,53.43557437,-113.6588662,RESIDENTIAL
1069491,,10908,5 AVENUE SW,Y,5451,RICHFORD,Ward 10,1041500,53.42879526,-113.5105189,RESIDENTIAL
1071026,,121,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1357500,53.4525162,-113.6154744,RESIDENTIAL
1002807,,15,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,1162000,53.48089241,-113.6386423,RESIDENTIAL
1114164,,12803,231 STREET NW,N,4477,KINGLET GARDENS,Ward 1,4877000,53.58841199,-113.7074271,RESIDENTIAL
1003391,,17503,45 AVENUE NW,Y,4451,RIVER VALLEY OLESKIW,Ward 5,2427500,53.48271261,-113.6307286,RESIDENTIAL
1127893,,741,107 STREET SW,Y,5451,RICHFORD,Ward 10,1194000,53.42539496,-113.5031372,RESIDENTIAL
1071190,,128,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,2212000,53.44182706,-113.6296469,RESIDENTIAL
1002773,,14,WEDGEWOOD CRESCENT NW,Y,4120,DONSDALE,Ward 5,1106000,53.4809866,-113.639331,RESIDENTIAL
1144351,,18808,ELLERSLIE ROAD SW,N,5570,WINDERMERE,Ward 9,2428500,53.42551358,-113.6462272,RESIDENTIAL
1274729,,2503,ELLERSLIE ROAD SW,N,6663,DECOTEAU,Ward 12,1020500,53.42207891,-113.3805216,RESIDENTIAL
1092519,,10120,92 STREET NW,N,1210,RIVERDALE,Ward 6,1936500,53.54320153,-113.472443,RESIDENTIAL
1022292,,17,WOLF WILLOW POINT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1195000,53.50071149,-113.5946264,RESIDENTIAL
1108380,,15623,CAMPBELL ROAD NW,N,3360,RAMPART INDUSTRIAL,Ward 2,5637000,53.61793802,-113.5842338,RESIDENTIAL
1068881,,6830,ELLERSLIE ROAD SW,N,6211,ELLERSLIE,Ward 12,1202000,53.42566494,-113.4455441,RESIDENTIAL
1022995,,185,WOLF WILLOW CRESCENT NW,Y,4440,RIVER VALLEY LESSARD NORTH,Ward 5,1271000,53.50149286,-113.5931808,RESIDENTIAL
1071497,,264,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,2703000,53.44859801,-113.6160973,RESIDENTIAL
1071174,,120,WINDERMERE DRIVE NW,Y,5570,WINDERMERE,Ward 9,1539500,53.44167377,-113.6309283,RESIDENTIAL
1100296,,16611,MERIDIAN STREET NE,Y,2690,RURAL NORTH EAST SOUTH STURGEON,Ward 4,1283500,53.62762094,-113.3411463,RESIDENTIAL
1003789,,4519,DONSDALE DRIVE NW,N,4451,RIVER VALLEY OLESKIW,Ward 5,1749500,53.48404037,-113.6314787,RESIDENTIAL
1003078,,24,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,1317000,53.47965604,-113.6361603,RESIDENTIAL
1069129,,231,75 STREET SW,Y,6211,ELLERSLIE,Ward 12,1328500,53.43073728,-113.4498356,RESIDENTIAL
1113570,,8404,WINTERBURN ROAD NW,N,4750,ROSENTHAL,Ward 1,1033500,53.5189744,-113.699842,RESIDENTIAL
1117258,,160,WOODBEND WYND NW,Y,4464,THE UPLANDS,Ward 5,1099500,53.46798275,-113.6533484,RESIDENTIAL
1114909,,232,GRANDISLE POINT NW,Y,4463,RIVERVIEW AREA,Ward 5,1812500,53.43526478,-113.6558848,RESIDENTIAL
1113802,,15105,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,Ward 5,3029000,53.50586427,-113.5820229,RESIDENTIAL
1071604,,120,WINDERMERE CRESCENT NW,Y,5570,WINDERMERE,Ward 9,1080500,53.45077715,-113.6182038,RESIDENTIAL
1110725,,5122,213A STREET NW,N,4461,THE HAMPTONS,Ward 5,1394500,53.48834439,-113.6871466,RESIDENTIAL
1069590,,10704,5 AVENUE SW,Y,5451,RICHFORD,Ward 10,1099500,53.42810606,-113.5046452,RESIDENTIAL
1002922,,19,WEDGEWOOD CRESCENT NW,Y,4467,RIVER VALLEY CAMERON,Ward 5,3307000,53.48063019,-113.6358876,RESIDENTIAL
